@RELATION reviews-de

@ATTRIBUTE hasPicture                 NUMERIC
@ATTRIBUTE hasVideo                   NUMERIC
@ATTRIBUTE isPurchaseVerified         NUMERIC
@ATTRIBUTE length                     NUMERIC
@ATTRIBUTE rating                     NUMERIC
@ATTRIBUTE sentimentAnalysis          NUMERIC
@ATTRIBUTE sentimentRatingOffset      NUMERIC
@ATTRIBUTE averageProductRating       NUMERIC
@ATTRIBUTE productRatingOffset        NUMERIC
@ATTRIBUTE consecutiveCaps            NUMERIC
@ATTRIBUTE consCapsTextRatio          NUMERIC
@ATTRIBUTE distinctWordRatio          NUMERIC
@ATTRIBUTE averageWordLength          NUMERIC
@ATTRIBUTE numberOfLineBreaks         NUMERIC
@ATTRIBUTE numberOfQuestionMarks      NUMERIC
@ATTRIBUTE numberOfExclMarks          NUMERIC
@ATTRIBUTE lineBreakTextRatio         NUMERIC
@ATTRIBUTE punctuationLetterRatio     NUMERIC
@ATTRIBUTE nlpExpert	NUMERIC
@ATTRIBUTE nlpWaitingForMrPerfect	NUMERIC
@ATTRIBUTE nlpNoDemands	NUMERIC
@ATTRIBUTE nlpBeatingAroundTheBush	NUMERIC
@ATTRIBUTE nlpRager	NUMERIC
@ATTRIBUTE nlpEuphoric	NUMERIC
@ATTRIBUTE nlpComplainer	NUMERIC
@ATTRIBUTE persona                {Expert,WaitingForMrPerfect,NoDemands,BeatingAroundTheBush,Rager,Euphoric,Complainer}

@DATA
0,0,1,158,1,5,9,?,?,0,0.0,0.96,6.32,0,0,4,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,192,1,5,9,?,?,0,0.0,0.9666666666666667,6.4,0,0,8,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,528,1,1,5,?,?,20,0.0380952380952381,0.8947368421052632,6.907894736842105,1,0,3,0.013157894736842105,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,73,1,5,9,?,?,0,0.0,0.9230769230769231,5.615384615384615,0,0,3,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,337,2,1,4,?,?,0,0.0,0.8679245283018868,6.3584905660377355,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
1,0,1,941,5,5,5,?,?,0,0.0,0.8066666666666666,6.153333333333333,6,0,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,159,1,5,9,?,?,0,0.0,0.88,6.36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
0,0,1,155,1,1,5,?,?,0,0.0,1.0,5.7407407407407405,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
0,0,1,326,1,5,9,?,?,0,0.0,0.9230769230769231,6.269230769230769,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,24,1,2,6,?,?,0,0.0,1.0,8.0,0,0,4,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,142,1,5,9,?,?,0,0.0,0.9047619047619048,6.190476190476191,4,0,5,0.19047619047619047,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
0,0,1,792,2,1,4,?,?,0,0.0,0.7950819672131147,6.491803278688525,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BeatingAroundTheBush
0,0,1,475,1,1,5,?,?,17,0.0367170626349892,0.875,6.430555555555555,4,0,10,0.05555555555555555,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,222,1,1,5,?,?,0,0.0,0.9428571428571428,6.257142857142857,1,0,7,0.02857142857142857,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,0,1092,2,5,8,?,?,0,0.0,0.788235294117647,6.3,7,0,3,0.041176470588235294,0.01764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BeatingAroundTheBush
0,0,1,265,2,5,8,?,?,0,0.0,0.8604651162790697,6.093023255813954,1,0,1,0.023255813953488372,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WaitingForMrPerfect
0,0,1,1036,5,5,5,?,?,0,0.0,0.7218543046357616,6.602649006622516,13,0,0,0.08609271523178808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,383,1,1,5,?,?,0,0.0,0.8088235294117647,5.5,3,0,2,0.04411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
0,0,1,174,1,1,5,?,?,0,0.0,0.9545454545454546,7.636363636363637,2,0,4,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
0,0,1,77,5,4,4,?,?,0,0.0,0.9285714285714286,5.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoDemands
0,0,1,28,5,3,3,?,?,0,0.0,1.0,5.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NoDemands
0,0,1,1806,5,5,5,?,?,16,0.009101251422070534,0.7050359712230215,6.323741007194244,16,0,2,0.05755395683453238,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,632,4,5,6,?,?,0,0.0,0.85,6.23,3,0,0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WaitingForMrPerfect
0,0,1,949,2,3,6,?,?,0,0.0,0.8014184397163121,6.6453900709219855,4,0,0,0.028368794326241134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,364,1,5,9,?,?,0,0.0,0.8307692307692308,5.507692307692308,2,0,0,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
0,0,1,155,1,1,5,?,?,7,0.04516129032258064,1.0,6.2,0,0,6,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,531,5,5,5,?,?,7,0.01348747591522158,0.717391304347826,5.641304347826087,4,0,3,0.043478260869565216,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Euphoric
